pcd7,pcd8,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,oa21cd,oac11cd,oac11nm,wz11cd,wzc11cd,wzc11nm,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,soac11cd,soac11nm,ladcd,ladnm,ladnmw,laccd,lacnm
AB1 1TJ,AB1  1TJ,AB1 1TJ,198001,199606,0,393637,806033,S00088982,2C2,Migrant commuters,S34003049,B5,Science and business parks,S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TL,AB1  1TL,AB1 1TL,198001,199606,0,393658,805977,S00090516,2B2,Multicultural student neighbourhood,S34000027,A6,"Eat, drink and be merry",S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TN,AB1  1TN,AB1 1TN,198001,199606,0,393579,805945,S00088978,2C3,Professional service cosmopolitans,S34000002,B4,Regional business centres,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TP,AB1  1TP,AB1 1TP,198001,199606,0,393536,805936,S00088978,2C3,Professional service cosmopolitans,S34000002,B4,Regional business centres,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TQ,AB1  1TQ,AB1 1TQ,198001,199606,0,393474,805889,S00088978,2C3,Professional service cosmopolitans,S34000001,A6,"Eat, drink and be merry",S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TR,AB1  1TR,AB1 1TR,198001,199606,0,393426,805858,S00088978,2C3,Professional service cosmopolitans,S34000001,A6,"Eat, drink and be merry",S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TS,AB1  1TS,AB1 1TS,198001,199606,0,393350,805819,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TT,AB1  1TT,AB1 1TT,198001,199606,0,393299,805804,S00090448,7A2,Hampered aspiration,S34003058,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TU,AB1  1TU,AB1 1TU,197308,197705,0,393320,805800,S00090448,7A2,Hampered aspiration,S34003058,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TW,AB1  1TW,AB1 1TW,197308,197705,0,393370,805870,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TX,AB1  1TX,AB1 1TX,198001,199606,0,393372,805866,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TY,AB1  1TY,AB1 1TY,198001,199606,0,393242,806049,S00090511,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1TZ,AB1  1TZ,AB1 1TZ,198001,199606,0,393221,806060,S00090512,2C3,Professional service cosmopolitans,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UA,AB1  1UA,AB1 1UA,198001,199606,0,393396,805871,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UB,AB1  1UB,AB1 1UB,198001,199606,0,393324,805973,S00090454,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UD,AB1  1UD,AB1 1UD,198001,199606,0,393355,805964,S00090514,2C2,Migrant commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UE,AB1  1UE,AB1 1UE,198001,199606,0,393290,806126,S00088972,2C1,Migrant families,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UF,AB1  1UF,AB1 1UF,198001,199606,0,392650,806087,S00089757,2C1,Migrant families,S34002991,G1,Public administration and security,S01006570,,S02001246,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UG,AB1  1UG,AB1 1UG,198610,199606,0,393296,806004,S00090454,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UH,AB1  1UH,AB1 1UH,198001,199606,0,393252,806132,S00088972,2C1,Migrant families,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UJ,AB1  1UJ,AB1 1UJ,198001,199606,0,393260,806033,S00090511,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UL,AB1  1UL,AB1 1UL,198001,199606,0,392473,805861,S00090449,2C1,Migrant families,S34002991,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UN,AB1  1UN,AB1 1UN,198001,199606,0,392673,805885,S00090449,2C1,Migrant families,S34000022,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UP,AB1  1UP,AB1 1UP,198001,199606,0,392615,805915,S00090449,2C1,Migrant families,S34002991,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UQ,AB1  1UQ,AB1 1UQ,198001,199606,0,392760,805972,S00090449,2C1,Migrant families,S34002991,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UR,AB1  1UR,AB1 1UR,198001,199606,0,392912,806027,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1US,AB1  1US,AB1 1US,198001,199606,0,392940,805974,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UT,AB1  1UT,AB1 1UT,198001,199606,0,393050,806085,S00088971,2D2,Highly-qualified quaternary workers,S34003018,G1,Public administration and security,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UU,AB1  1UU,AB1 1UU,198001,199606,0,393215,805948,S00090512,2C3,Professional service cosmopolitans,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UW,AB1  1UW,AB1 1UW,198001,199606,0,393251,805968,S00090512,2C3,Professional service cosmopolitans,S34002972,A6,"Eat, drink and be merry",S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UX,AB1  1UX,AB1 1UX,198001,199606,0,393162,806042,S00088971,2D2,Highly-qualified quaternary workers,S34003018,G1,Public administration and security,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UY,AB1  1UY,AB1 1UY,198001,199606,0,393310,805893,S00088976,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1UZ,AB1  1UZ,AB1 1UZ,198001,199606,0,393298,805863,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1WA,AB1  1WA,AB1 1WA,199512,199512,1,393396,805871,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XA,AB1  1XA,AB1 1XA,198001,199606,0,393165,805969,S00088971,2D2,Highly-qualified quaternary workers,S34003018,G1,Public administration and security,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XB,AB1  1XB,AB1 1XB,198001,199606,0,393242,805856,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XD,AB1  1XD,AB1 1XD,198001,199606,0,393304,805918,S00088976,2B1,Students and commuters,S34002972,A6,"Eat, drink and be merry",S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XE,AB1  1XE,AB1 1XE,198001,199606,0,392996,805853,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XF,AB1  1XF,AB1 1XF,198001,199606,0,393010,805879,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XG,AB1  1XG,AB1 1XG,198001,199606,0,393149,805925,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XH,AB1  1XH,AB1 1XH,198001,199606,0,393194,805879,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XJ,AB1  1XJ,AB1 1XJ,198001,199606,0,393396,805931,S00088977,2B1,Students and commuters,S34003063,G1,Public administration and security,S01006585,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XL,AB1  1XL,AB1 1XL,198001,199606,0,392805,805859,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XN,AB1  1XN,AB1 1XN,198001,199606,0,393143,805854,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XP,AB1  1XP,AB1 1XP,198001,199606,0,393064,805897,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XQ,AB1  1XQ,AB1 1XQ,198001,199606,0,393020,805980,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XR,AB1  1XR,AB1 1XR,198001,199606,0,392970,806080,S00089765,5A1,White professionals,S34003044,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XS,AB1  1XS,AB1 1XS,198001,199606,0,392930,806190,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XT,AB1  1XT,AB1 1XT,198001,199606,0,392960,806180,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XU,AB1  1XU,AB1 1XU,198001,199606,0,392990,806120,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XW,AB1  1XW,AB1 1XW,199103,199606,0,393001,805929,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XX,AB1  1XX,AB1 1XX,198001,199606,0,393050,805980,S00090451,2C3,Professional service cosmopolitans,S34003044,B4,Regional business centres,S01006584,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1XY,AB1  1XY,AB1 1XY,198001,199606,0,392903,805917,S00088970,5A3,Families in terraces and flats,S34003018,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YA,AB1  1YA,AB1 1YA,198001,199606,0,392729,805906,S00090449,2C1,Migrant families,S34000022,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YB,AB1  1YB,AB1 1YB,198001,199606,0,393309,805765,S00090448,7A2,Hampered aspiration,S34003058,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YD,AB1  1YD,AB1 1YD,198001,199606,0,393255,805797,S00090448,7A2,Hampered aspiration,S34003058,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YE,AB1  1YE,AB1 1YE,198001,199606,0,393170,805747,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YG,AB1  1YG,AB1 1YG,199512,199512,1,393176,805780,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YH,AB1  1YH,AB1 1YH,198001,199606,0,393181,805813,S00090448,7A2,Hampered aspiration,S34003058,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YJ,AB1  1YJ,AB1 1YJ,198001,199606,0,392897,805755,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YL,AB1  1YL,AB1 1YL,198001,199606,0,392782,805761,S00090448,7A2,Hampered aspiration,S34003023,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YN,AB1  1YN,AB1 1YN,198001,199606,0,392544,805769,S00090449,2C1,Migrant families,S34000022,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YP,AB1  1YP,AB1 1YP,198001,199606,0,392663,805831,S00090449,2C1,Migrant families,S34000022,B4,Regional business centres,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YT,AB1  1YT,AB1 1YT,199512,199606,1,392925,805756,S00090448,7A2,Hampered aspiration,S34000021,G1,Public administration and security,S01006571,,S02001247,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YU,AB1  1YU,AB1 1YU,199512,199512,1,393474,806106,S00090901,2B1,Students and commuters,S34003020,D1,Non-metropolitan suburban areas,S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 1YW,AB1  1YW,AB1 1YW,199512,199512,1,393474,806106,S00090901,2B1,Students and commuters,S34003020,D1,Non-metropolitan suburban areas,S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AA,AB1  2AA,AB1 2AA,198001,199606,0,394337,806116,S00089038,2B1,Students and commuters,S34000007,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AB,AB1  2AB,AB1 2AB,198001,199606,0,394541,806212,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AD,AB1  2AD,AB1 2AD,198001,199606,0,394486,806289,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AE,AB1  2AE,AB1 2AE,198001,199606,0,394445,806165,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AF,AB1  2AF,AB1 2AF,198001,199606,0,394476,806183,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AG,AB1  2AG,AB1 2AG,197308,198105,0,394490,806190,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AH,AB1  2AH,AB1 2AH,198001,199606,0,394506,806174,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AJ,AB1  2AJ,AB1 2AJ,198001,199606,0,394463,806284,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AL,AB1  2AL,AB1 2AL,198001,199606,0,394513,806216,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AN,AB1  2AN,AB1 2AN,197308,198105,0,394550,806300,S00090674,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AP,AB1  2AP,AB1 2AP,198001,199606,0,394649,806224,S00090675,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AQ,AB1  2AQ,AB1 2AQ,198001,199606,0,394677,806197,S00090678,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AR,AB1  2AR,AB1 2AR,198001,199606,0,394745,806211,S00090677,2B1,Students and commuters,S34000046,B5,Science and business parks,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AS,AB1  2AS,AB1 2AS,198001,199606,0,394857,806193,S00090677,2B1,Students and commuters,S34000046,B5,Science and business parks,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AT,AB1  2AT,AB1 2AT,198001,199606,0,394705,806258,S00090677,2B1,Students and commuters,S34000046,B5,Science and business parks,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AU,AB1  2AU,AB1 2AU,198001,199606,0,394610,806273,S00090675,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AW,AB1  2AW,AB1 2AW,198001,199606,0,394508,806200,S00089039,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006587,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AX,AB1  2AX,AB1 2AX,199512,199606,0,394569,806319,S00090674,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AY,AB1  2AY,AB1 2AY,198001,199606,0,394713,806294,S00090677,2B1,Students and commuters,S34000046,B5,Science and business parks,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2AZ,AB1  2AZ,AB1 2AZ,198001,199606,0,394420,806255,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BA,AB1  2BA,AB1 2BA,198001,199606,0,393792,806003,S00090579,2B1,Students and commuters,S34000033,A6,"Eat, drink and be merry",S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BB,AB1  2BB,AB1 2BB,198001,199606,0,393874,806030,S00090579,2B1,Students and commuters,S34000033,A6,"Eat, drink and be merry",S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BD,AB1  2BD,AB1 2BD,198001,199606,0,394146,806175,S00090584,2B1,Students and commuters,S34000041,A3,Multiethnic urban high streets,S01006588,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BE,AB1  2BE,AB1 2BE,198001,199606,0,394621,806190,S00090678,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006637,,S02001259,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BF,AB1  2BF,AB1 2BF,198208,199606,0,394566,806211,S00090675,2B1,Students and commuters,S34003092,E1,Mining and quarrying facilities,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BG,AB1  2BG,AB1 2BG,198001,199606,0,393972,806090,S00090579,2B1,Students and commuters,S34000033,A6,"Eat, drink and be merry",S01006586,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BH,AB1  2BH,AB1 2BH,198001,199606,0,394067,806140,S00090584,2B1,Students and commuters,S34000042,A5,Shop until you drop,S01006588,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BJ,AB1  2BJ,AB1 2BJ,198001,199606,0,394257,806238,S00090679,2B1,Students and commuters,S34003079,A6,"Eat, drink and be merry",S01006588,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BL,AB1  2BL,AB1 2BL,198001,199606,0,394306,806205,S00090679,2B1,Students and commuters,S34003079,A6,"Eat, drink and be merry",S01006588,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BN,AB1  2BN,AB1 2BN,198001,199606,0,394311,806264,S00090679,2B1,Students and commuters,S34003079,A6,"Eat, drink and be merry",S01006588,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BP,AB1  2BP,AB1 2BP,198001,199606,0,394342,806279,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BQ,AB1  2BQ,AB1 2BQ,198001,199606,0,393734,805965,S00090580,2B2,Multicultural student neighbourhood,S34002969,C2,Independent professional metro services,S01006582,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BR,AB1  2BR,AB1 2BR,198001,199606,0,393701,805941,S00090580,2B2,Multicultural student neighbourhood,S34002969,C2,Independent professional metro services,S01006582,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BS,AB1  2BS,AB1 2BS,198001,199606,0,393617,805890,S00090575,2C1,Migrant families,S34000032,A6,"Eat, drink and be merry",S01006582,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BT,AB1  2BT,AB1 2BT,198001,199606,0,393588,805876,S00090575,2C1,Migrant families,S34000032,A6,"Eat, drink and be merry",S01006582,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BU,AB1  2BU,AB1 2BU,198001,199606,0,394372,806298,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BW,AB1  2BW,AB1 2BW,198001,199606,0,394368,806285,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BX,AB1  2BX,AB1 2BX,198001,199606,0,393546,805856,S00090575,2C1,Migrant families,S34000032,A6,"Eat, drink and be merry",S01006582,,S02001249,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 2BY,AB1  2BY,AB1 2BY,198001,199606,0,394354,806274,S00090676,2B1,Students and commuters,S34003122,G2,Healthcare and public administration,S01006589,,S02001250,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
